name(Linux),name(Mac/Windows),name_zh,url
dedacrm,DEDACRM,DEDACRM,https://crm.deda.gr
dedasuppliers,DEDASUPPLIERS,https://suppliers.deda.gr
asfaults,ASFAULTS,https://as-front.evolution-isa.gr
